year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.56,,,
1992.9865,-19.98,,,
1993.0123,-15.64,,,
1993.0407,-19.44,,,
1993.066,-23.97,,,
1993.0974,-27.26,,,
1993.1206,-25.14,,,
1993.1493,-19.02,,,
1993.1765,-15.95,,,
1993.2037,-16.36,,,
1993.2307,-19.78,,,
1993.2851,-22.77,,,
1993.3123,-16.29,,,
1993.3394,-15.73,,,
1993.3665,-12.63,,,
1993.3937,-17.14,,,
1993.4208,-21.54,,,
1993.448,-18.4,,,
1993.4751,-13.68,,,
1993.5021,-10.73,,,
1993.5294,-12.01,,,
1993.5837,-21.07,,,
1993.6117,-18.43,,,
1993.6381,-14.64,,,
1993.6652,-11.23,,,
1993.6923,-13.56,,,
1993.7189,-20.08,,,
1993.7466,-20.67,,,
1993.7738,-15.98,,,
1993.8009,-16.66,,,
1993.8553,-13.26,,,
1993.8824,-19.04,,,
1993.9098,-19.52,,,
1993.9367,-17.03,,,
1993.9639,-9.33,,,
1993.9907,-7.37,,,
1994.0181,-15.98,,,
1994.0452,-15.87,,,
1994.0723,-17.38,,,
1994.0995,-19.01,,,
1994.1267,-17.46,,,
1994.1539,-11.18,,,
1994.1809,-10.54,,,
1994.2353,-15.47,,,
1994.2624,-13.14,,,
1994.2896,-10.83,,,
1994.3168,-8.03,,,
1994.3439,-11.47,,,
1994.371,-15.96,,,
1994.3982,-18.69,,,
1994.4253,-15.51,,,
1994.4524,-8.99,,,
1994.5067,-15.62,,,
1994.5339,-14.65,,,
1994.561,-17.68,,,
1994.5882,-14.11,,,
1994.6154,-11.75,,,
1994.6425,-9.01,,,
1994.6697,-11.91,,,
1994.6968,-14.52,,,
1994.7239,-17.32,,,
1994.751,-16.23,,,
1994.7782,-14.57,,,
1994.8054,-8.39,,,
1994.8325,-9.97,,,
1994.8868,-17.58,,,
1994.914,-17.73,,,
1994.9412,-7.8,,,
1994.9684,-6.8,,,
1994.9955,-9.94,,,
1995.0226,-12.78,,,
1995.0497,-15.31,,,
1995.0769,-7.05,,,
1995.104,-7.72,,,
1995.1312,-9.1,,,
1995.1583,-9.55,,,
1995.2127,-8.34,,,
1995.2398,-13.65,,,
1995.2669,-8.01,,,
1995.2941,-5.69,,,
1995.3212,-9.38,,,
1995.3755,-13.4,,,
1995.4028,-9.93,,,
1995.4298,-4.17,,,
1995.4569,-7.19,,,
1995.4841,-12.66,,,
1995.5384,-16.8,,,
1995.5655,-12.78,,,
1995.5927,-10.25,,,
1995.6199,-7.52,,,
1995.647,-12.8,,,
1995.674,-14.28,,,
1995.7013,-11.57,,,
1995.7285,-4.53,,,
1995.7556,-7.58,,,
1995.7827,-9.25,,,
1995.8371,-13.61,,,
1995.8643,-12.73,,,
1995.8899,-8.46,,,
1995.9456,-5.58,,,
1995.9728,-6.18,,,
1995.9998,-11.73,,,
1996.027,-13.5,,,
1996.0533,-10.98,,,
1996.0814,-5.83,,,
1996.1084,-2.04,,,
1996.1631,-8.52,,,
1996.1899,-11.6,,,
1996.2171,-8.22,,,
1996.2442,-3.83,,,
1996.2714,-6.88,,,
1996.2985,-11.14,,,
1996.3257,-11.12,,,
1996.3529,-8.33,,,
1996.38,-5.33,,,
1996.4071,-2.98,,,
1996.4342,-5.55,,,
1996.4886,-10.92,,,
1996.5157,-8.73,,,
1996.5429,-4.16,,,
1996.57,-0.19,,,
1996.5972,-3.79,,,
1996.6244,-10.39,,,
1996.6515,-12.08,,,
1996.6786,-13.95,,,
1996.7053,-8.08,,,
1996.7335,-1.95,,,
1996.76,-1.42,,,
1996.8144,4.4,,,
1996.8415,4.56,,,
1996.8687,1.4,,,
1996.8959,-4.82,,,
1996.923,-7.2,,,
1996.9501,-9.95,,,
1996.977,-15.86,,,
1997.0044,-11.71,,,
1997.0316,-5.61,,,
1997.0587,-5.8,,,
1997.0858,-6.32,,,
1997.1402,-10.1,,,
1997.1673,-7.9,,,
1997.1944,-6.19,,,
1997.2216,-4.01,,,
1997.2487,-5.71,,,
1997.2759,-9.64,,,
1997.303,-12.09,,,
1997.3302,-7.76,,,
1997.3573,-2.07,,,
1997.3844,-4.07,,,
1997.4116,-3.63,,,
1997.4659,-10.12,,,
1997.4928,-4.87,,,
1997.5202,-1.84,,,
1997.5474,3.57,,,
1997.5745,-2.11,,,
1997.6288,-5.36,,,
1997.656,-2.86,,,
1997.683,0.28,,,
1997.7103,3.35,,,
1997.7374,-0.52,,,
1997.7917,-4.08,,,
1997.8189,-1.88,,,
1997.846,2.64,,,
1997.8731,-2.66,,,
1997.9001,-7.14,,,
1997.9274,-9.69,,,
1997.9546,-11.81,,,
1997.9817,-5.42,,,
1998.0083,-2.83,,,
1998.036,-0.93,,,
1998.0903,-6.51,,,
1998.1174,-6.29,,,
1998.1446,-3.56,,,
1998.1717,-1.28,,,
1998.1989,-0.87,,,
1998.2261,-4.1,,,
1998.2532,-7.89,,,
1998.2792,-6.02,,,
1998.3075,-1.14,,,
1998.3347,0.3,,,
1998.3617,-2.8,,,
1998.4158,-11.09,,,
1998.4432,-8.71,,,
1998.4704,-5.04,,,
1998.4976,1.35,,,
1998.5247,-0.37,,,
1998.5518,-6.1,,,
1998.6062,-6.61,,,
1998.6333,-5.44,,,
1998.6604,-2.74,,,
1998.6876,-3.89,,,
1998.7147,-10.87,,,
1998.7419,-11.6,,,
1998.7689,-10.36,,,
1998.8234,-1.76,,,
